class.csv1100고지습지
1112도로
9.81파크
감귤박물관
갓전시관
건강과성박물관
게우지코지
곽지해수욕장
교래 삼다수마을
국립제주박물관
기당미술관
김녕미로공원
김만덕객주
김만덕기념관
꽃썸카페
남원큰엉해안
너븐숭이4.3기념관
돌하르방
동귀방파제
동백동산
드라마월드
로봇스퀘어
마라도가는여객선
마라도가파도정기여객선
마라도기념비
명월대
박수기정
복신미륵
본태박물관
불탑사
뽀로로&타요테마파크
사려니숲길
생각하는정원
샤이니숲길
서귀포문화원
서귀포예술의전당
서귀포층패류화석산지
서귀포치유의숲
서귀포항
서복전시관
선녀와나무꾼테마공원
선덕사
성산일출봉
소인국테마파크
쇠소깍
쇠소깍해변
쉬리의언덕
아쿠아플라넷제주
오설록연구소(이전서원다원)
오설록티뮤지엄
용두암
용머리해안
월정리해변(월정리해수욕장)
이니스프리제주하우스
제석사
제주공룡랜드
제주도립김창열미술관
제주도예촌
제주도유도회관
제주돌마을공원수석전시관
제주맥주
제주벚꽃길
제주베니스랜드
제주시민속오일시장
제주신라호텔
제주신화월드호텔앤리조트
제주추사관
제주통일관
제주항일기념관
제주향교
제주허브동산
제주화석박물관
조랑말체험공원
주상절리대(대포동지삿개)
창고천생태공원
초콜릿박물관
카멜리아힐
탐라신화공원
태흥포구
테디베어뮤지엄제주
하얀등대
한림공원
함덕해수욕장
